,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId
834,GRANDMASTER,cKtmHvDSGLkO8G1EuR2bUEAhzGAXFzbPyGhs96qPJy0gpFyn,l3arlo,283,262,253,False,False,True,False,HUsW_S3mX7SfSJCGKybnYxMQv3TuZRzYiD_Qs0LphMEnCkYN0rMTWLap
835,GRANDMASTER,gkPINPHb8emYrARAzeUMbf7v7exkgixi0RSkruOh7WXjkOE,dtro18,309,178,173,False,False,False,False,kL8LkyO8CpnvIcIB6tFOMUUaXMTuvNC-o3ve3ce8E3nvDg
836,GRANDMASTER,b7sPeF0l4H4J7MM9L6BDrb-LYw9Cn6ALs2TkkDoAOloY6fs,Zeneryth,494,81,66,False,False,False,True,drg0JJ8Xum7L71vPPEIf9Wn8H7bXECcBejIwpA91EKsUIX4
837,GRANDMASTER,DFi--WxufsTJ0KoaiRJyqaiBhj3bfsn7Z0xdm7J3BDiPxGbQ,TURBOSCOOTER,342,289,259,False,False,False,False,UJNWJJkcIXZi3j7GK7d4AHy2SGF9gnRZRy2eq-Zu8Wpt_hLQngx3xUFA
838,GRANDMASTER,HMzarwiGTqA_0XcEjoueXzIfS3u5WUiT9sSkY6QvQkCu5eE,BEST POUTINE QC,606,261,242,False,False,True,True,uongdp9ukKj3zbGPK1p8qpndWu9d3iSLcWGctcqXyRqEdB4
839,GRANDMASTER,wY6nhfVZh5YXR9VKr6ImYAXZEGsGLsFNO3csU5f4OnwnV2k,8 Pack Olaf,294,118,113,False,False,True,False,T34T9QNqko8-s5AiEspEmezF1cfP_MRL02fPHSdBwOTJFEc
840,GRANDMASTER,X4WimaWwB4gj0YIKcau_cgsrrRgVwf3TSU8I8OBTzcHm5-Y,coldcoldcoldcold,319,90,77,False,False,True,True,7j6v22--cdA71Ymgs_IVBiNijdRZlzQg7UjN_ebtrfJ03oo
841,GRANDMASTER,agnsLTWwQWUXB4LVL-NXsVeI3FD9I7i5s1k6VhduMYWsdsc,Atsumu Miya1,241,64,58,False,False,True,False,Ze3ESxP6DT_POx1JHYb-hHxyyJWl47yj_qS3SHc_Y42E4g
842,GRANDMASTER,kATkX0zBsgTqmr0r27wA-hmEIaI4lmaoD7bzrTsXbe35WStV,Gio Diff,504,227,203,True,False,False,False,84gE2QiD57S-0P5NqfFHDRT9QwVfT1SnznvbJu0HYaJIsZhmAf8EQc_c
843,GRANDMASTER,rQwKD5EOS20WfHavDhHVOmtMlWf4Po4fAJwZWvKB5xut6II,0rder Knight,306,146,108,False,False,True,False,Z-5zaC6XaHMst8qaYmMIT-qDVqcAj8j3bZ5-DYWyTPM2lg
844,GRANDMASTER,ahDxSpj_9h51xdwWdoxHvWwlhNc0RCa07sjZG4zhq8iLgKU,Familiar,607,154,134,True,False,False,False,A9OudHeu1AjcamRmu0mgGJofs9nS5YabX1zFv4cEPyLg7NU
845,GRANDMASTER,JXP2fITLBbVofIJnlvHN8_8AI_C7JSecBYgqN8zOaMG0ogc,einree,380,98,89,False,False,False,False,XS-2OAnfSEYjzDoBzT-gF5eKnz0UNsaSC-mLvXv4zkha8jQ
846,GRANDMASTER,ihSYkxMXwQZg0512bvm9POxBUkHfweNj-Gi_C8mtTqO4,Zativert Vi,569,215,195,False,False,True,False,ckIVgGK08xbkGIeT0lhm31Np2XIE4xsnZbcR7fSMGdQ
847,GRANDMASTER,S9hxx-JhKtWNCI9NWQ0KHJx78ojH5sfRplbMsu1HAM8V6IzMV4pDTlKQog,PSZ,303,178,134,False,False,True,False,ZCG-k8Z8pGQDr0mwWEXVhO_KT5fG8kFOfEccoFcTKcyB-izYf03-VQML
848,GRANDMASTER,9hUOHvTlpnM_5GSEh4xKv5sWqqhgNZo2IgeMxhhf2OzONaE,Mizli,330,371,345,True,False,False,False,uVkghivgpMOZl0GyNECJV0oJMU2v38jQzHNUO-QUi3aTts8
849,GRANDMASTER,6xQVvBnnMiLyzW6A2t-QiavkX1bQWG7xAaV8d5endZV6L9A,QUANTE NATION,468,174,153,False,False,True,False,JJonlFFJg2pJxW0Ol9RINMRthaeKGsnvDOLH1Y4uUW7mTA
850,GRANDMASTER,ScCRD9m4J7hMqo3qTqwnmsP0HJVlfuwr9_r0qYSnE1yrxF4,kingbranflakes,333,168,165,False,False,False,False,CUM5i7Cy7fXabkQQgg31gvg3mYR-RMcJvdPzx_rYFRpq1zY
851,GRANDMASTER,jfHf1OHjL59QmS6HvRurPInMMq49ZXaClG6vXx4BA5fhcl_k,ttv LoLEnryu,279,143,134,False,False,False,False,D_g4MXZkNF2TdsPUhYJgmvBmQCVPyOMUBoztDeO5_qq2aDQEPqanQYN1
852,GRANDMASTER,S_wE1QVfjmS28Z2QrIlPLcs_VgFzzdGKecgD14-rv6yeY-0,pickle eater69,325,299,265,False,False,True,True,03UGGc5ucroY-Jr89i0tC4bAZnbEEQ9Vc2KK96YZTN6Kfg
853,GRANDMASTER,CR0st7w6jgXvMKW2DvX2-bj3YcZZpoGmgoOGpMCwOyy0PVs,YAPPING EBOY,373,316,305,False,False,False,False,xn1Ty2ZUx2fwGYajXJkUvNqBscLpBSuas5ss_oqyGpPZFgM
854,GRANDMASTER,Mm7kCAH0xKJgORJ82AB5erCsmXbYpNpJjIzdiaHrLoaTgJ4,Higher than any ,513,79,61,False,False,False,False,B2e91GP1FnhK9WQGQrUDSBJuaTfWHWIWRmph-zoPQqP98fs
855,GRANDMASTER,9DUNacMalE5TMzkXS6sHrTWnfDoS1K-Xq6WprtN7z9ZWAEw,träp,425,102,67,False,False,False,False,beWiQT6HltPnzwsLalN7xODv_tyXyX-wZXxLvisGVCU16cs
856,GRANDMASTER,OJd8yP2Rd5qZr9APxdDLZ5705KkpTG-b0fnKW8GaXqmaIbL46c7ztIrx3Q,1v9DoubleFeed,379,155,114,False,False,False,False,ZsUIHkDj0_YhflFt5k2yxRVwIMwkJiNKSMNzcKMimRZZdSpDdYhXc4tf
857,GRANDMASTER,iusajYJ_vK3WLfifxIaw6UIs6GPbs6kLGos_ahoJMeB1vMs,TheNìne,436,556,535,True,False,False,False,aiDu5ZZjJF0uFY12TB376BXsax_PFsJq8oDPH3AqwivnPeI
858,GRANDMASTER,gg6O9XOnTh3IXazjz7no7otizaagaTvDzWrmbHEL5USAM5Ob,loladc1231,359,148,122,False,False,False,False,3XKqEhqHxyFE90SMxaxvXBiTxGSWW72pRw7NhUoePhcxSYERrdpdPLHT
